author,date,score,review
SYS00,2 years ago,3,"The very first time I used this unit to toast my favorite bread, Dave's Killer Bread 21 Whole Grains and Seeds, I immediately learned two flaws. One, although my bread is an average size, the toaster slot is a bit short in length such that I had to press the bread down with my fingers. Once done, the knob doesn't come up all the way as it should, so it forces me to press the knob up. This toaster has the weakest spring mechanism of any toasters I've used. Because it's so weak, it hardly makes any audible sound when toast is done, so if I'm away from the direct view, I wouldn't be able to tell whether the toast is done or not. If it weren't for the $10 discount, I'd have returned it. I've purchased Cuisinart products years ago, and I noticed their deteriorating quality control with recent products. "
RobertaMurphy,3 years ago,5,"Outstanding toaster that does all it promises to do-and is priced fat lower than an identical model on Amazon. Toast, bagels, English muffins and waffles all come out perfect. Thanks again, Costco! "
NHFos,2 years ago,4,Overall nice with good options for toasting.  Only complaint is that the slots are a bit narrow (some loaves of bread are a little longer so I have to squeeze it in).  But good product and brand. 
Anonymous,2 years ago,3,Why do you advise that toaster should be unplugged when not in use? Never had that warning before. Does not toast evenly. Felt that a Cuisinart product would be excellent. Disappointed. 
Waterbufflo,2 years ago,5,"Nice toaster, useful functions and good control once you figure out the toasting setting. Wished slots where about half inch longer so rye bread would have to be cut down fit. "
Sler,a year ago,4,"This is a good simple toaster with few bells and no whistles. No WiFi, no Bluetooth, just toast. There are a few buttons ( bagel, English muffin, bread) and that’s it. "
New Cuisinart owner,2 years ago,3,"It's a toaster, and it does the job. What I don't like is, it's too quiet. I want to hear the buzzing sound when it starts toasting, If I don't push the lever down extra hard, it will not start, I would like to hear it buzz, that way, I know it's toasting. It's also too quiet when the toast pops up, if I'm not keeping an eye on it, I don't know when it's done toasting because there's no sound. "
Nappy Jim,2 years ago,3,My first toaster had to be returned as the left side did not work So far the replacement is fine but feels  plastically and always must be on a higher setting 
fatherbob,5 months ago,3,"This toaster is a beautiful piece of architecture. But,  its primary function, toasting bread, it falls short. Here's the rub. The machine toast bread unevenly. "
Conan,3 years ago,5,"After a few uses so far, it works great and toasts to perfection.  No problems at all, compared to a cheaper one we bought a couple years ago and disposed of. "
MelissaRN,2 years ago,2,"We bought this toaster about a month ago. We find it toasts one side of the bread much darker than the other. It also feels cheap, for lack of a better word. "
Tete,2 years ago,3,"Its not white  on sides. Pictures deceiving . Also its huge. So bulky for a kitchen. I hate that. But it works good like any other toaster, nothing extra. "
Julia,9 months ago,2,"My old Cuisinart Toaster lasted years and never burned anything. This one burns every time, both sides are not working. Unfortunately returning it :( "
Rizwan Ali,2 years ago,2,Everything about this toaster feels cheap. Have to push the lever down multiple times for it to click. The finish looks nice but dents easily. 
Laem,2 years ago,5,Toast shades are perfect as well as the waffle and English muffin settings.  The best part: it doesn't beep like everything else in the kitchen! 
Yali,2 years ago,5,Great for a family of 5. My old toaster was kind of slow compare to this one. It also has different settings and my children love doing bagels. 
bewildered,5 months ago,1,like most all toasters this one only toast on one side. Doesn’t anyone make a toaster the=at is capable of toasting your bread on bith sides? 
wiggie805,2 years ago,5,"I bought this toaster about a month ago, and it is perfect.  It accomodates bagels and regular bread.  The 4 slots make it very convenient. "
Toast,6 months ago,1,"It burns toast on setting #2, which should get the toast only slightly brown. Using setting #3 totally smokes the toast to a black char. "
Roman22,5 months ago,1,Toasts unevenly. Makes no noise when toast are done. Bread sticks in slots. Not much to like about this toaster. Sorry we bought it. 
WaltzJo,2 years ago,5,This is a very good toaster.  The size and flexibility are great.  Love the setting for bagels. And the the other settings too. 
Nina,2 years ago,5,"This toaster works great.  It toasts very quickly, even if the bread, bagel or muffin is straight out of the freezer.  Love it! "
Pjlynn,3 months ago,1,There was something stuck to the inside of 2 of the slices. Started toasting and house filled with smoke . From the burn off. 
Jolene,7 months ago,3,"Its nice looking, but it doesn't always click down fully and fails to toast the bread. It stays down without toasting often. "
